Przybycia           stan kolejki        czas obsługi        lambda              mi                  ro                  p0                  q                   w                   
1                   1                   11                  0,00000             0,09091             0,00000             1,00000             -0,00000            NaN                 
2                   2                   32                  2,00000             0,06250             3,20000             -0,00000            0,01065             0,00533             
2                   2                   30                  1,00000             0,06667             1,50000             0,22314             -0,00000            -0,00000            
3                   3                   46                  1,00000             0,06522             1,53333             0,21583             -0,00000            -0,00000            
4                   4                   60                  1,00000             0,06667             1,50000             0,22314             -0,00000            -0,00000            
5                   5                   71                  1,00000             0,07042             1,42000             0,24172             -0,00000            -0,00000            
5                   5                   66                  0,83333             0,07576             1,10000             0,33287             -0,00000            -0,00000            
5                   5                   61                  0,71429             0,08197             0,87143             0,41835             -0,00000            -0,00000            
6                   6                   75                  0,75000             0,08000             0,93750             0,39161             -0,00000            -0,00000            
7                   7                   88                  0,77778             0,07955             0,97778             0,37615             -0,00000            -0,00000            
7                   7                   81                  0,70000             0,08642             0,81000             0,44486             -0,00000            -0,00000            
7                   6                   74                  0,63636             0,08108             0,78485             0,45619             -0,00000            -0,00000            
8                   7                   87                  0,66667             0,08046             0,82857             0,43667             -0,00000            -0,00000            
9                   8                   97                  0,69231             0,08247             0,83942             0,43196             -0,00000            -0,00000            
10                  9                   104                 0,71429             0,08654             0,82540             0,43806             -0,00000            -0,00000            
10                  9                   95                  0,66667             0,09474             0,70370             0,49475             -0,00000            -0,00000            
11                  10                  100                 0,68750             0,10000             0,68750             0,50283             -0,00000            -0,00000            
12                  11                  102                 0,70588             0,10784             0,65455             0,51968             -0,00000            -0,00000            
13                  12                  109                 0,72222             0,11009             0,65602             0,51891             -0,00000            -0,00000            
13                  12                  99                  0,68421             0,12121             0,56447             0,56866             -0,00000            -0,00000            
14                  12                  119                 0,70000             0,10084             0,69417             0,49949             -0,00000            -0,00000            
15                  12                  130                 0,71429             0,09231             0,77381             0,46125             -0,00000            -0,00000            
16                  12                  141                 0,72727             0,08511             0,85455             0,42548             -0,00000            -0,00000            
16                  11                  131                 0,69565             0,08397             0,82846             0,43672             -0,00000            -0,00000            
16                  11                  121                 0,66667             0,09091             0,73333             0,48031             -0,00000            -0,00000            
16                  11                  111                 0,64000             0,09910             0,64582             0,52423             -0,00000            -0,00000            
17                  12                  117                 0,65385             0,10256             0,63750             0,52861             -0,00000            -0,00000            
17                  11                  107                 0,62963             0,10280             0,61246             0,54202             -0,00000            -0,00000            
18                  11                  120                 0,64286             0,09167             0,70130             0,49594             -0,00000            -0,00000            
19                  11                  127                 0,65517             0,08661             0,75643             0,46934             -0,00000            -0,00000            
